hid,date,state,lastTouched,type,date_ts,lastTouched_ts,session_year,dr_changed,dr_changed_ts,subject
880,2016-03-14,CA,"2017-01-10 04:15:48",Regular,1457913600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
881,2016-03-14,CA,"2017-01-10 04:15:48",Informational,1457913600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
882,2016-03-14,CA,"2017-01-10 04:15:48",Regular,1457913600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
883,2016-03-14,CA,"2017-01-10 04:15:48",Regular,1457913600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
884,2015-09-01,CA,"2017-01-10 04:15:48",Regular,1441065600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
885,2015-09-01,CA,"2017-01-10 04:15:48",Regular,1441065600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
886,2016-03-15,CA,"2017-01-10 04:15:48",Regular,1458000000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
887,2016-03-15,CA,"2017-01-10 04:15:48",Regular,1458000000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
888,2016-03-15,CA,"2017-01-10 04:15:48",Budget,1458000000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
889,2016-03-15,CA,"2017-01-10 04:15:48",Informational,1458000000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
890,2016-03-14,CA,"2017-01-10 04:15:48",Informational,1457913600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
891,2016-03-15,CA,"2017-01-10 04:15:48",Informational,1458000000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
892,2015-09-02,CA,"2017-01-10 04:15:48",Regular,1441152000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
893,2015-09-02,CA,"2017-01-10 04:15:48",Regular,1441152000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
894,2016-03-15,CA,"2017-01-10 04:15:48",Regular,1458000000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
895,2016-03-15,CA,"2017-01-10 04:15:48",Budget,1458000000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
896,2016-03-16,CA,"2017-01-10 04:15:48",Regular,1458086400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
897,2016-03-16,CA,"2017-01-10 04:15:48",Budget,1458086400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
898,2016-03-16,CA,"2017-01-10 04:15:48",Regular,1458086400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
899,2016-03-15,CA,"2017-01-10 04:15:48",Informational,1458000000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
900,2016-03-16,CA,"2017-01-10 04:15:48",Informational,1458086400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
901,2016-03-16,CA,"2017-01-10 04:15:48",Budget,1458086400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
902,2016-03-16,CA,"2017-01-10 04:15:48",Informational,1458086400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
903,2016-03-16,CA,"2017-01-10 04:15:48",Budget,1458086400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
904,2016-03-17,CA,"2017-01-10 04:15:48",Regular,1458172800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
905,2016-03-17,CA,"2017-01-10 04:15:48",Regular,1458172800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
906,2016-03-17,CA,"2017-01-10 04:15:48",Budget,1458172800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
